V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
6,15,18,15,6,2,18,6,17,6,16,6,17,17,13,6,18,6,17,17,17,16,6,6,17,2,17,18,18,16,2,17,6,6,6,6,17,6,6,6,18,2,2,18,6,18,16,6,16,6
10,9,10,9,9,10,10,9,9,9,9,9,9,10,9,10,10,9,10,9,9,9,10,9,9,9,9,10,10,10,9,9,9,10,9,9,10,9,9,9,9,9,10,10,10,10,9,9,9,9
11,10,11,10,10,11,11,10,10,10,10,10,10,11,10,11,11,10,11,10,10,10,11,10,10,10,10,11,11,11,10,10,10,11,10,10,11,10,10,10,10,10,11,11,11,11,10,10,10,10
7,23,29,23,23,7,29,22,24,24,21,23,25,13,24,24,30,22,24,24,25,23,25,22,26,24,25,26,29,7,24,7,24,19,23,22,23,24,24,23,27,24,22,28,23,27,23,22,23,22
7,7,7,7,7,7,7,7,7,7,15,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
8,1,8,1,1,8,8,1,1,1,7,1,1,8,1,8,8,1,8,1,1,1,8,1,1,1,1,8,8,8,1,1,1,8,1,1,8,1,1,1,1,1,8,8,8,8,1,1,1,1
17,17,20,16,2,17,20,15,18,17,17,17,18,19,18,18,20,17,19,18,18,17,19,15,19,17,19,20,20,17,19,19,18,2,2,16,19,18,18,17,20,17,18,20,17,20,17,17,18,17
6,15,18,15,6,2,18,6,17,6,16,6,17,17,29,6,18,6,17,17,17,16,6,6,17,2,17,18,18,16,2,17,6,6,6,6,17,6,6,6,18,2,2,18,6,18,16,6,16,6
14,13,15,13,14,15,15,13,14,14,13,14,14,15,14,15,15,14,15,14,14,13,15,13,14,14,14,15,15,14,14,14,14,14,13,13,14,14,14,13,15,14,14,15,14,15,13,14,13,14
25,26,33,17,26,24,33,24,26,27,24,18,27,20,27,27,34,25,20,27,27,26,27,24,20,26,26,28,32,25,27,26,28,20,17,23,26,27,27,26,32,27,25,31,25,31,24,25,26,25
2,15,2,15,28,2,2,26,2,29,16,2,17,17,29,28,36,27,17,17,28,28,28,26,2,2,17,2,34,25,2,17,2,8,26,6,27,22,29,27,34,2,2,33,2,33,16,26,16,27
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
