"","method","mu","nc","value"
"611","single_louvain",35,20,0.653681571521575
"612","single_louvain",35,25,0.705619575259176
"613","single_louvain",35,24,0.693012394914158
"614","single_louvain",35,22,0.691626089803554
"615","single_louvain",35,25,0.682959777546538
"616","single_louvain",35,22,0.660335398132483
"617","single_louvain",35,21,0.669099775117614
"618","single_louvain",35,20,0.661288758945427
"619","single_louvain",35,24,0.652438318850368
"620","single_louvain",35,23,0.693268193653389
"621","single_louvain",35,24,0.661043608206914
"622","single_louvain",35,26,0.723333167456618
"623","single_louvain",35,24,0.701118583412827
"624","single_louvain",35,23,0.678303475249627
"625","single_louvain",35,23,0.675813711867776
"626","single_louvain",35,23,0.661724315824237
"627","single_louvain",35,21,0.648312270324895
"628","single_louvain",35,21,0.659609953559995
"629","single_louvain",35,23,0.702722548107587
"630","single_louvain",35,22,0.658720646212627
"631","single_louvain",35,23,0.693420991277016
"632","single_louvain",35,23,0.689815332232847
"633","single_louvain",35,22,0.682926410005956
"634","single_louvain",35,22,0.668874923797282
"635","single_louvain",35,22,0.672569222570575
"636","single_louvain",35,23,0.682500495058027
"637","single_louvain",35,23,0.664941379807678
"638","single_louvain",35,23,0.652183291758079
"639","single_louvain",35,22,0.685544153018096
"640","single_louvain",35,26,0.690918209286193
"641","single_louvain",35,23,0.694968640477639
"642","single_louvain",35,23,0.696142751062102
"643","single_louvain",35,22,0.670957587624336
"644","single_louvain",35,23,0.684127564142568
"645","single_louvain",35,23,0.676519179693203
"646","single_louvain",35,21,0.668976207196435
"647","single_louvain",35,24,0.684329430352781
"648","single_louvain",35,23,0.671512988264587
"649","single_louvain",35,22,0.673334117555842
"650","single_louvain",35,20,0.658957755721829
"651","single_louvain",35,23,0.669072765688409
"652","single_louvain",35,23,0.67624212592282
"653","single_louvain",35,26,0.688280051826018
"654","single_louvain",35,23,0.70197910070407
"655","single_louvain",35,21,0.648430611487484
"656","single_louvain",35,23,0.686444870870155
"657","single_louvain",35,22,0.665515948330389
"658","single_louvain",35,24,0.692694455378719
"659","single_louvain",35,24,0.649465043252613
"660","single_louvain",35,20,0.666745999253411
"661","single_louvain",35,19,0.635993913731852
"662","single_louvain",35,23,0.681452959651377
"663","single_louvain",35,24,0.681761917516072
"664","single_louvain",35,20,0.650487591716561
"665","single_louvain",35,25,0.706090294987502
"666","single_louvain",35,23,0.66390389747062
"667","single_louvain",35,22,0.67519345241112
